Date/Time: 2020-04-01 21:20:35.119997, Messages: 0, New members: 0
Date/Time: 2020-04-01 22:20:35.119996, Messages: 0, New members: 0
Date/Time: 2020-04-01 23:03:35.046704, Messages: 0, New members: 0
Date/Time: 2020-04-02 04:14:35.509133, Messages: 0, New members: 0
Date/Time: 2020-04-02 03:09:49.291401, Messages: 0, New members: 0
Date/Time: 2020-04-02 03:54:07.369166, Messages: 0, New members: 0

Date/Time: 2020-04-02 05:01:05.291942, Messages: 0, New members: 0
Date/Time: 2020-04-02 05:45:50.895079, Messages: 0, New members: 0
Date/Time: 2020-04-02 05:46:46.312506, Messages: 0, New members: 0
Date/Time: 2020-04-02 07:20:50.235517, Messages: 0, New members: 0
Date/Time: 2020-04-02 07:22:39.178177, Messages: 0, New members: 0
Date/Time: 2020-04-02 10:23:30.292632, Messages: 7, New members: 0
Date/Time: 2020-04-02 16:35:31.734121, Messages: 0, New members: 0
Date/Time: 2020-04-02 16:51:26.720630, Messages: 0, New members: 0
Date/Time: 2020-04-02 16:57:19.120816, Messages: 0, New members: 0
Date/Time: 2020-04-02 16:59:16.405315, Messages: 0, New members: 0
Date/Time: 2020-04-02 17:02:23.866898, Messages: 0, New members: 0
Date/Time: 2020-04-02 17:03:40.542378, Messages: 0, New members: 0
Date/Time: 2020-04-02 18:03:40.557115, Messages: 5, New members: 0
Date/Time: 2020-04-02 19:03:40.572155, Messages: 2, New members: 0
Date/Time: 2020-04-02 20:03:40.579531, Messages: 0, New members: 0
Date/Time: 2020-04-02 21:03:40.579795, Messages: 0, New members: 0
Date/Time: 2020-04-02 22:03:40.583594, Messages: 3, New members: 0
Date/Time: 2020-04-02 23:03:40.572678, Messages: 0, New members: 0
Date/Time: 2020-04-03 00:03:40.587688, Messages: 0, New members: 0
Date/Time: 2020-04-03 01:03:40.595624, Messages: 0, New members: 0
Date/Time: 2020-04-03 02:03:40.591171, Messages: 0, New members: 0
